date,weight
2025-06-01,183.55
2025-06-04,182.8
2025-06-08,181.85
2025-06-16,181.7
2025-06-23,179.95
2025-06-29,178.3
2025-07-06,176.7
2025-07-12,176.48
2025-07-19,175.75
2025-08-03,174.0
2025-08-08,173.5
2025-08-10,172.6
2025-08-12,169.95
2025-09-10,168.15
2025-10-01,167.45
2025-10-12,165.2
2025-10-24,164.75
2025-11-12,163.75
2025-11-23,162.7
2025-12-02,161.0
2025-12-14,160.25
2025-12-27,159.6
2026-01-03,157.45
2026-01-22,157.5
2026-01-28,157.4
2026-02-08,156.8
2026-02-13,155.65
2026-02-18,154.8
2026-02-24,154.1
2026-03-25,153.4
2026-04-10,152.5
2026-04-23,151.75
